year,month,day,carrier,dest,departure_delay,arrival_delay,delay_change_minutes
2013,7,7,DL,SFO,319.0,312.0,-7.0
2013,7,1,MQ,RDU,293.0,310.0,17.0
2013,7,10,VX,SFO,301.0,310.0,9.0
2013,6,10,9E,BUF,281.0,308.0,27.0
2013,7,10,AA,SFO,187.0,307.0,120.0
2013,7,10,B6,SEA,257.0,307.0,50.0
2013,6,24,DL,MIA,312.0,303.0,-9.0
2013,7,22,B6,LGB,211.0,302.0,91.0
2013,7,7,DL,LAX,257.0,302.0,45.0
2013,7,28,MQ,CMH,262.0,301.0,39.0
2013,8,14,9E,DFW,301.0,300.0,-1.0
2013,6,27,9E,MSP,321.0,300.0,-21.0
2013,7,13,AA,LAX,260.0,300.0,40.0
2013,7,10,DL,LAS,275.0,298.0,23.0
2013,7,7,DL,MCO,342.0,298.0,-44.0
2013,7,6,VX,SFO,322.0,297.0,-25.0
2013,7,1,B6,JAX,285.0,297.0,12.0
2013,6,23,AA,SFO,252.0,297.0,45.0
2013,7,28,B6,PWM,244.0,294.0,50.0
2013,7,7,VX,SFO,299.0,294.0,-5.0
2013,7,23,B6,BOS,275.0,294.0,19.0
2013,6,7,9E,RDU,232.0,292.0,60.0
2013,6,27,DL,SEA,294.0,292.0,-2.0
2013,8,4,MQ,CVG,319.0,292.0,-27.0
2013,6,14,AA,SFO,201.0,289.0,88.0
2013,6,30,9E,RIC,217.0,288.0,71.0
2013,7,9,DL,ATL,268.0,288.0,20.0
2013,7,22,DL,SLC,275.0,288.0,13.0
2013,7,7,9E,DTW,269.0,287.0,18.0
2013,6,23,VX,SFO,214.0,287.0,73.0
2013,6,25,VX,SFO,290.0,287.0,-3.0
2013,6,7,B6,FLL,282.0,287.0,5.0
2013,7,22,B6,FLL,286.0,286.0,0.0
2013,6,13,B6,RDU,287.0,285.0,-2.0
2013,6,25,B6,SFO,291.0,285.0,-6.0
2013,7,22,VX,SFO,223.0,284.0,61.0
2013,7,10,DL,LAX,319.0,284.0,-35.0
2013,8,8,DL,PDX,244.0,283.0,39.0
2013,6,19,9E,PHL,268.0,283.0,15.0
2013,7,10,AA,LAX,194.0,282.0,88.0
2013,7,17,9E,BWI,313.0,280.0,-33.0
2013,6,27,VX,SFO,249.0,278.0,29.0
2013,8,28,B6,JAX,272.0,277.0,5.0
2013,7,11,B6,BUF,242.0,277.0,35.0
2013,8,29,DL,DEN,340.0,276.0,-64.0
2013,6,27,B6,ORD,207.0,276.0,69.0
2013,6,30,B6,BUF,298.0,275.0,-23.0
2013,6,24,9E,BWI,232.0,275.0,43.0
2013,7,3,B6,PWM,253.0,274.0,21.0
2013,7,10,DL,LAX,268.0,274.0,6.0
2013,6,24,B6,MCO,265.0,273.0,8.0
2013,6,24,9E,PHL,171.0,273.0,102.0
2013,7,30,VX,SFO,270.0,273.0,3.0
2013,6,24,US,PHX,275.0,270.0,-5.0
2013,6,15,DL,ATL,301.0,270.0,-31.0
2013,7,18,DL,SFO,312.0,270.0,-42.0
2013,6,23,UA,SFO,207.0,269.0,62.0
2013,7,22,AA,MIA,232.0,268.0,36.0
2013,7,28,9E,DFW,202.0,268.0,66.0
2013,8,2,9E,BUF,260.0,267.0,7.0
2013,7,20,B6,LGB,210.0,267.0,57.0
2013,7,9,UA,SFO,233.0,267.0,34.0
2013,7,10,B6,MCO,268.0,267.0,-1.0
2013,6,23,VX,SFO,263.0,267.0,4.0
2013,8,16,9E,DTW,297.0,267.0,-30.0
2013,6,29,B6,BOS,270.0,266.0,-4.0
2013,6,4,UA,LAX,250.0,265.0,15.0
2013,6,23,DL,SFO,245.0,264.0,19.0
2013,6,28,AA,LAX,224.0,263.0,39.0
2013,7,1,B6,MCO,263.0,262.0,-1.0
2013,6,14,VX,LAX,271.0,262.0,-9.0
2013,7,1,EV,IAD,214.0,262.0,48.0
2013,6,27,B6,JAX,281.0,262.0,-19.0
2013,8,20,9E,MCI,284.0,262.0,-22.0
2013,7,10,DL,PHX,259.0,261.0,2.0
2013,8,2,9E,DTW,265.0,261.0,-4.0
2013,6,13,AA,LAS,255.0,261.0,6.0
2013,7,22,MQ,DCA,193.0,260.0,67.0
2013,7,17,9E,CLT,214.0,259.0,45.0
2013,6,24,DL,LAX,283.0,259.0,-24.0
2013,6,24,B6,SFO,275.0,259.0,-16.0
2013,8,3,US,CLT,270.0,259.0,-11.0
2013,6,24,VX,SFO,243.0,258.0,15.0
2013,8,8,US,CLT,223.0,258.0,35.0
2013,6,2,MQ,IND,241.0,258.0,17.0
2013,6,18,B6,RDU,255.0,258.0,3.0
2013,7,22,B6,SEA,209.0,258.0,49.0
2013,7,9,9E,ORD,263.0,258.0,-5.0
2013,7,6,VX,SFO,210.0,258.0,48.0
2013,7,20,9E,ORD,220.0,257.0,37.0
2013,7,22,B6,OAK,180.0,257.0,77.0
2013,6,10,9E,IAD,211.0,256.0,45.0
2013,7,8,DL,SAT,299.0,256.0,-43.0
2013,6,14,DL,SJU,157.0,256.0,99.0
2013,8,10,B6,MSY,244.0,255.0,11.0
2013,7,9,VX,SFO,255.0,254.0,-1.0
2013,8,4,MQ,CLE,194.0,254.0,60.0
2013,6,25,DL,LAS,279.0,254.0,-25.0
2013,6,24,EV,IAD,207.0,254.0,47.0
2013,6,13,B6,FLL,230.0,254.0,24.0
2013,7,8,VX,SFO,256.0,253.0,-3.0
2013,6,22,B6,SFO,306.0,253.0,-53.0
2013,7,22,EV,IAD,192.0,253.0,61.0
2013,7,22,9E,CHS,225.0,252.0,27.0
2013,6,18,B6,PWM,281.0,252.0,-29.0
2013,6,24,UA,SFO,225.0,252.0,27.0
2013,6,25,B6,FLL,261.0,251.0,-10.0
2013,7,10,DL,AUS,241.0,251.0,10.0
2013,6,13,9E,PHL,190.0,251.0,61.0
2013,8,1,B6,BTV,234.0,250.0,16.0
2013,8,18,9E,DCA,245.0,250.0,5.0
2013,8,8,AA,LAS,250.0,250.0,0.0
2013,7,16,B6,BUF,268.0,250.0,-18.0
2013,6,25,9E,BWI,200.0,250.0,50.0
2013,6,19,DL,PHX,277.0,249.0,-28.0
2013,6,28,B6,PBI,247.0,249.0,2.0
2013,8,21,DL,SEA,281.0,248.0,-33.0
2013,6,19,EV,IAD,253.0,248.0,-5.0
2013,8,16,AA,SFO,294.0,247.0,-47.0
2013,6,27,B6,BUR,226.0,247.0,21.0
2013,7,1,9E,CHS,200.0,247.0,47.0
2013,7,23,9E,MSP,219.0,247.0,28.0
2013,7,1,B6,IAD,257.0,246.0,-11.0
2013,6,30,B6,PBI,245.0,246.0,1.0
2013,7,22,B6,ROC,210.0,246.0,36.0
2013,6,10,B6,SYR,243.0,246.0,3.0
2013,8,7,9E,SDF,209.0,244.0,35.0
2013,7,1,VX,LAX,287.0,243.0,-44.0
2013,6,30,B6,ROC,253.0,243.0,-10.0
2013,7,10,UA,SFO,206.0,243.0,37.0
2013,7,18,B6,MCO,257.0,243.0,-14.0
2013,8,25,US,PHX,286.0,243.0,-43.0
2013,6,27,9E,MCI,158.0,242.0,84.0
2013,6,28,DL,MIA,224.0,242.0,18.0
2013,7,17,9E,PHL,238.0,242.0,4.0
2013,6,28,9E,BOS,277.0,241.0,-36.0
2013,6,7,AA,SFO,277.0,241.0,-36.0
2013,6,26,DL,SFO,260.0,241.0,-19.0
2013,8,28,MQ,TPA,255.0,241.0,-14.0
2013,8,9,DL,PDX,219.0,240.0,21.0
2013,7,23,B6,ORD,192.0,240.0,48.0
2013,8,9,AA,BOS,216.0,239.0,23.0
2013,6,24,MQ,CVG,232.0,238.0,6.0
2013,7,22,9E,BOS,205.0,238.0,33.0
2013,6,17,B6,SJU,228.0,238.0,10.0
2013,7,10,DL,SAT,249.0,238.0,-11.0
2013,7,10,B6,SMF,224.0,238.0,14.0
2013,6,13,9E,IND,199.0,237.0,38.0
2013,7,3,DL,SFO,296.0,237.0,-59.0
2013,8,1,9E,DTW,228.0,237.0,9.0
2013,7,22,AA,LAS,182.0,237.0,55.0
2013,7,8,DL,BOS,271.0,236.0,-35.0
2013,8,1,VX,SFO,187.0,236.0,49.0
2013,7,25,B6,LAX,245.0,235.0,-10.0
2013,7,19,UA,SFO,217.0,235.0,18.0
2013,6,10,DL,SLC,215.0,235.0,20.0
2013,8,5,AA,LAX,208.0,235.0,27.0
2013,6,24,AA,SFO,187.0,235.0,48.0
2013,7,3,DL,SEA,253.0,234.0,-19.0
2013,6,17,B6,BOS,182.0,234.0,52.0
2013,6,2,VX,LAX,222.0,234.0,12.0
2013,7,10,B6,BOS,210.0,233.0,23.0
2013,6,14,DL,MIA,244.0,232.0,-12.0
2013,7,22,DL,MIA,225.0,232.0,7.0
2013,8,3,DL,SAN,248.0,231.0,-17.0
2013,7,17,9E,CLE,216.0,231.0,15.0
2013,6,21,9E,DTW,260.0,231.0,-29.0
2013,6,7,B6,MCO,216.0,231.0,15.0
2013,6,18,9E,IND,243.0,230.0,-13.0
2013,7,10,B6,SFO,168.0,230.0,62.0
2013,6,2,9E,ORF,213.0,229.0,16.0
2013,7,22,AA,SEA,190.0,229.0,39.0
2013,6,13,B6,MSY,248.0,229.0,-19.0
2013,7,19,EV,IAD,230.0,229.0,-1.0
2013,7,29,B6,BOS,245.0,229.0,-16.0
2013,6,10,US,PHX,240.0,229.0,-11.0
2013,7,21,9E,ORD,251.0,228.0,-23.0
2013,7,22,MQ,CMH,151.0,228.0,77.0
2013,7,8,DL,DTW,217.0,228.0,11.0
2013,6,24,9E,DFW,247.0,228.0,-19.0
2013,8,20,DL,LAS,245.0,227.0,-18.0
2013,8,2,9E,CVG,255.0,227.0,-28.0
2013,8,8,DL,ATL,230.0,227.0,-3.0
2013,7,10,9E,RDU,159.0,227.0,68.0
2013,7,22,VX,LAX,180.0,227.0,47.0
2013,8,4,AA,SJU,212.0,227.0,15.0
2013,8,1,DL,ATL,241.0,227.0,-14.0
2013,8,28,B6,BOS,205.0,227.0,22.0
2013,6,13,AA,SFO,217.0,226.0,9.0
2013,7,10,B6,SJC,212.0,226.0,14.0
2013,6,23,B6,FLL,175.0,226.0,51.0
2013,6,18,B6,MCO,255.0,226.0,-29.0
2013,7,12,9E,IAD,229.0,226.0,-3.0
2013,7,7,B6,BUF,240.0,226.0,-14.0
2013,7,10,B6,FLL,213.0,226.0,13.0
2013,6,24,9E,PHL,143.0,226.0,83.0
2013,6,28,MQ,DCA,208.0,225.0,17.0
2013,6,30,AA,ORD,245.0,225.0,-20.0
2013,8,24,9E,MSP,269.0,225.0,-44.0
2013,7,11,B6,CHS,219.0,225.0,6.0
2013,7,10,DL,LAS,233.0,225.0,-8.0
2013,6,28,AA,LAX,254.0,224.0,-30.0
2013,7,22,MQ,BWI,179.0,224.0,45.0
2013,7,23,DL,LAX,209.0,224.0,15.0
2013,6,7,B6,PHX,238.0,224.0,-14.0
2013,7,22,9E,ORD,172.0,223.0,51.0
2013,7,23,B6,AUS,224.0,223.0,-1.0
2013,6,17,9E,MKE,184.0,223.0,39.0
2013,8,22,B6,BUR,236.0,222.0,-14.0
2013,7,21,EV,IAD,183.0,222.0,39.0
2013,7,10,9E,PIT,222.0,222.0,0.0
2013,6,7,9E,CVG,226.0,222.0,-4.0
2013,6,2,UA,LAX,193.0,222.0,29.0
2013,7,22,9E,RDU,238.0,221.0,-17.0
2013,8,17,B6,PDX,255.0,221.0,-34.0
2013,7,10,B6,ROC,200.0,221.0,21.0
2013,7,1,B6,MCO,235.0,221.0,-14.0
2013,7,22,B6,SFO,169.0,221.0,52.0
2013,7,23,B6,ACK,219.0,221.0,2.0
2013,6,28,VX,LAX,233.0,221.0,-12.0
2013,7,28,9E,MSY,160.0,220.0,60.0
2013,6,27,B6,SFO,166.0,220.0,54.0
2013,7,10,B6,PDX,173.0,220.0,47.0
2013,6,7,9E,BNA,151.0,220.0,69.0
2013,7,23,DL,SEA,207.0,220.0,13.0
2013,7,1,B6,MCO,211.0,219.0,8.0
2013,7,2,9E,IND,214.0,219.0,5.0
2013,7,2,B6,FLL,222.0,219.0,-3.0
2013,7,10,9E,JAX,226.0,219.0,-7.0
2013,7,11,DL,SEA,233.0,219.0,-14.0
2013,6,30,US,PHX,242.0,219.0,-23.0
2013,6,30,MQ,BNA,238.0,218.0,-20.0
2013,7,10,B6,DEN,249.0,218.0,-31.0
2013,7,1,B6,BUF,230.0,218.0,-12.0
2013,6,30,B6,BTV,191.0,218.0,27.0
2013,7,10,DL,SAN,118.0,218.0,100.0
2013,8,3,EV,IAD,184.0,218.0,34.0
2013,6,14,DL,SFO,145.0,217.0,72.0
2013,6,28,B6,MCO,233.0,217.0,-16.0
2013,6,18,B6,BUF,166.0,217.0,51.0
2013,8,8,AA,SAN,184.0,217.0,33.0
2013,6,14,9E,ORF,229.0,216.0,-13.0
2013,8,1,B6,PDX,215.0,215.0,0.0
2013,8,28,9E,PHL,216.0,215.0,-1.0
2013,6,7,MQ,RDU,199.0,214.0,15.0
2013,7,28,MQ,IND,132.0,214.0,82.0
2013,6,24,B6,ORD,116.0,214.0,98.0
2013,6,25,B6,AUS,204.0,214.0,10.0
2013,8,28,B6,CLT,170.0,214.0,44.0
2013,7,24,B6,MCO,208.0,213.0,5.0
2013,6,13,B6,PBI,167.0,213.0,46.0
2013,7,22,9E,DTW,165.0,213.0,48.0
2013,7,25,VX,LAX,233.0,213.0,-20.0
2013,7,19,DL,BOS,245.0,213.0,-32.0
2013,6,13,B6,MSY,137.0,213.0,76.0
2013,6,7,MQ,DCA,168.0,212.0,44.0
2013,7,9,VX,SFO,235.0,212.0,-23.0
2013,6,27,B6,ROC,146.0,212.0,66.0
2013,8,8,B6,BOS,191.0,212.0,21.0
2013,6,28,AA,LAX,200.0,211.0,11.0
2013,6,2,VX,SFO,200.0,211.0,11.0
2013,8,30,AA,SJU,237.0,211.0,-26.0
2013,7,7,B6,SYR,227.0,211.0,-16.0
2013,7,3,9E,PIT,216.0,211.0,-5.0
2013,7,12,UA,SFO,232.0,211.0,-21.0
2013,7,28,9E,ORD,170.0,210.0,40.0
2013,6,25,DL,TPA,236.0,209.0,-27.0
2013,6,24,9E,CLT,150.0,209.0,59.0
2013,8,8,B6,PWM,172.0,209.0,37.0
2013,6,23,AA,SFO,163.0,209.0,46.0
2013,7,22,B6,PWM,227.0,209.0,-18.0
2013,6,30,B6,BUR,207.0,209.0,2.0
2013,7,5,9E,BWI,211.0,209.0,-2.0
2013,7,11,B6,ORD,232.0,208.0,-24.0
2013,8,24,B6,MCO,244.0,208.0,-36.0
2013,7,8,AA,SFO,225.0,208.0,-17.0
2013,6,17,DL,BOS,185.0,208.0,23.0
2013,8,28,B6,MCO,224.0,208.0,-16.0
2013,6,24,9E,IAD,168.0,208.0,40.0
2013,6,17,B6,RSW,167.0,207.0,40.0
2013,8,23,DL,MIA,195.0,207.0,12.0
2013,7,8,9E,CHS,229.0,207.0,-22.0
2013,7,25,B6,SYR,188.0,207.0,19.0
2013,7,22,AA,LAX,191.0,207.0,16.0
2013,6,24,B6,TPA,222.0,206.0,-16.0
2013,6,25,9E,DCA,204.0,206.0,2.0
2013,6,18,US,PHX,229.0,206.0,-23.0
2013,7,2,B6,BUF,199.0,206.0,7.0
2013,6,7,EV,IAD,199.0,206.0,7.0
2013,7,12,9E,PHL,161.0,206.0,45.0
2013,7,12,9E,BWI,184.0,206.0,22.0
2013,7,22,B6,BTV,209.0,206.0,-3.0
2013,6,26,VX,SFO,196.0,205.0,9.0
2013,8,8,B6,JAX,218.0,205.0,-13.0
2013,7,8,9E,JAX,247.0,205.0,-42.0
2013,7,1,AA,IAH,203.0,205.0,2.0
2013,6,18,B6,IAD,225.0,205.0,-20.0
2013,7,14,MQ,CMH,227.0,205.0,-22.0
2013,6,27,VX,LAX,204.0,205.0,1.0
2013,7,22,B6,BOS,171.0,205.0,34.0
2013,6,25,B6,BUF,213.0,204.0,-9.0
2013,6,13,MQ,CMH,184.0,204.0,20.0
2013,8,8,B6,SMF,184.0,204.0,20.0
2013,6,10,9E,MKE,192.0,204.0,12.0
2013,7,1,B6,MCO,204.0,204.0,0.0
2013,7,5,B6,MCO,235.0,203.0,-32.0
2013,6,24,MQ,BNA,193.0,203.0,10.0
2013,7,22,B6,MCO,105.0,203.0,98.0
2013,6,27,B6,BUF,191.0,203.0,12.0
2013,7,24,9E,CVG,213.0,203.0,-10.0
2013,6,30,AA,SAN,194.0,202.0,8.0
2013,6,27,B6,FLL,130.0,202.0,72.0
2013,6,14,B6,OAK,218.0,202.0,-16.0
2013,7,19,B6,FLL,197.0,202.0,5.0
2013,6,24,B6,OAK,187.0,202.0,15.0
2013,6,13,9E,BNA,174.0,201.0,27.0
2013,7,1,B6,BOS,207.0,201.0,-6.0
2013,7,30,VX,SFO,172.0,201.0,29.0
2013,7,1,B6,PBI,136.0,201.0,65.0
2013,8,8,VX,LAX,175.0,200.0,25.0
2013,6,7,9E,CVG,215.0,200.0,-15.0
2013,6,13,9E,RDU,209.0,200.0,-9.0
2013,7,7,UA,SFO,114.0,200.0,86.0
2013,6,10,9E,CLT,170.0,199.0,29.0
2013,6,28,VX,SFO,172.0,199.0,27.0
2013,6,29,9E,DTW,204.0,199.0,-5.0
2013,8,8,B6,PHX,176.0,199.0,23.0
2013,8,9,B6,SJU,218.0,198.0,-20.0
2013,7,10,UA,LAX,129.0,198.0,69.0
2013,7,23,DL,SAN,162.0,198.0,36.0
2013,7,9,9E,IAD,230.0,198.0,-32.0
2013,8,13,B6,SJU,106.0,197.0,91.0
2013,7,28,AA,LAX,169.0,197.0,28.0
2013,6,24,DL,SFO,205.0,197.0,-8.0
2013,6,12,9E,ORD,168.0,197.0,29.0
2013,8,8,B6,ROC,213.0,197.0,-16.0
2013,6,30,DL,ATL,194.0,197.0,3.0
2013,6,24,UA,SFO,163.0,197.0,34.0
2013,6,23,9E,IND,209.0,196.0,-13.0
2013,7,8,9E,DTW,218.0,196.0,-22.0
2013,7,7,DL,SFO,108.0,196.0,88.0
2013,7,28,UA,LAX,140.0,196.0,56.0
2013,7,25,B6,SYR,212.0,195.0,-17.0
2013,6,25,B6,SFO,207.0,195.0,-12.0
2013,7,7,B6,BOS,206.0,195.0,-11.0
2013,6,10,9E,ORD,183.0,195.0,12.0
2013,6,10,9E,PHL,153.0,195.0,42.0
2013,6,24,B6,MCO,209.0,195.0,-14.0
2013,7,7,EV,IAD,200.0,195.0,-5.0
2013,6,27,AA,IAH,184.0,195.0,11.0
2013,6,28,VX,SFO,142.0,194.0,52.0
2013,7,22,AA,IAH,163.0,194.0,31.0
2013,6,27,B6,SJU,175.0,194.0,19.0
2013,8,28,B6,RSW,194.0,194.0,0.0
2013,8,9,B6,RSW,215.0,194.0,-21.0
2013,7,10,AA,LAS,125.0,194.0,69.0
2013,6,24,DL,SAT,226.0,194.0,-32.0
2013,7,10,MQ,ORF,187.0,193.0,6.0
2013,7,1,B6,LGB,123.0,193.0,70.0
2013,8,4,9E,DTW,211.0,193.0,-18.0
2013,6,13,9E,BWI,191.0,193.0,2.0
2013,7,28,UA,SFO,127.0,193.0,66.0
2013,7,7,VX,LAX,150.0,193.0,43.0
2013,6,13,AA,LAX,157.0,193.0,36.0
2013,6,28,B6,FLL,190.0,193.0,3.0
2013,7,28,B6,LGB,120.0,193.0,73.0
2013,6,13,9E,ORF,101.0,193.0,92.0
2013,8,28,B6,BUF,196.0,193.0,-3.0
2013,6,7,B6,PWM,100.0,193.0,93.0
2013,7,27,B6,CLT,202.0,192.0,-10.0
2013,7,10,B6,JAX,197.0,192.0,-5.0
2013,6,29,9E,MKE,185.0,192.0,7.0
2013,7,21,UA,LAX,172.0,192.0,20.0
2013,7,4,B6,AUS,185.0,192.0,7.0
2013,7,16,B6,BOS,207.0,192.0,-15.0
2013,8,28,B6,HOU,187.0,191.0,4.0
2013,6,8,9E,BOS,208.0,191.0,-17.0
2013,8,8,VX,LAX,204.0,191.0,-13.0
2013,8,2,AA,LAS,201.0,191.0,-10.0
2013,7,22,MQ,CMH,41.0,191.0,150.0
2013,8,22,9E,IND,207.0,191.0,-16.0
2013,7,8,9E,DCA,198.0,191.0,-7.0
2013,7,9,9E,DFW,155.0,191.0,36.0
2013,6,28,9E,ORD,239.0,191.0,-48.0
2013,6,26,B6,SFO,203.0,191.0,-12.0
2013,6,13,B6,SYR,202.0,191.0,-11.0
2013,7,9,9E,DTW,204.0,191.0,-13.0
2013,7,28,DL,AUS,100.0,191.0,91.0
2013,8,2,B6,LAS,187.0,191.0,4.0
2013,7,1,9E,DFW,194.0,190.0,-4.0
2013,6,18,B6,BUF,221.0,190.0,-31.0
2013,8,28,AA,LAX,180.0,190.0,10.0
2013,7,28,EV,IAD,94.0,190.0,96.0
2013,6,18,AA,TPA,185.0,190.0,5.0
2013,7,29,DL,PDX,190.0,190.0,0.0
2013,8,16,DL,FLL,223.0,189.0,-34.0
2013,6,13,DL,TPA,151.0,189.0,38.0
2013,8,28,B6,PWM,164.0,189.0,25.0
2013,6,25,VX,SFO,187.0,189.0,2.0
2013,7,10,MQ,DCA,176.0,189.0,13.0
2013,6,27,B6,BUF,199.0,189.0,-10.0
2013,6,25,9E,PHL,199.0,189.0,-10.0
2013,7,11,B6,FLL,159.0,189.0,30.0
2013,7,10,B6,LAS,106.0,188.0,82.0
2013,8,22,B6,SJU,203.0,188.0,-15.0
2013,6,26,9E,JAX,171.0,188.0,17.0
2013,6,25,VX,LAX,182.0,188.0,6.0
2013,7,7,DL,BOS,192.0,188.0,-4.0
2013,7,1,DL,SFO,245.0,188.0,-57.0
2013,6,4,B6,FLL,175.0,188.0,13.0
2013,6,24,B6,LAS,204.0,188.0,-16.0
2013,6,15,MQ,DCA,174.0,187.0,13.0
2013,6,23,DL,ATL,126.0,187.0,61.0
2013,6,28,AA,SFO,145.0,187.0,42.0
2013,6,24,B6,DEN,222.0,187.0,-35.0
2013,7,22,AA,SFO,192.0,187.0,-5.0
2013,7,9,9E,ORD,85.0,187.0,102.0
2013,8,28,B6,MCO,200.0,187.0,-13.0
2013,6,2,MQ,DCA,122.0,187.0,65.0
2013,7,1,B6,PDX,235.0,186.0,-49.0
2013,8,28,9E,BWI,157.0,186.0,29.0
2013,8,8,B6,BUR,127.0,186.0,59.0
2013,7,28,MQ,CMH,148.0,186.0,38.0
2013,7,10,B6,PWM,201.0,186.0,-15.0
2013,7,7,DL,SFO,141.0,185.0,44.0
2013,7,22,MQ,DCA,171.0,185.0,14.0
2013,7,23,9E,BUF,163.0,185.0,22.0
2013,8,1,VX,LAX,193.0,185.0,-8.0
2013,6,25,AA,SFO,158.0,185.0,27.0
2013,6,28,B6,LAS,195.0,185.0,-10.0
2013,7,8,VX,SFO,218.0,185.0,-33.0
2013,7,29,B6,SFO,187.0,185.0,-2.0
2013,7,29,B6,BUF,206.0,185.0,-21.0
2013,6,18,9E,MCI,190.0,185.0,-5.0
2013,7,9,AA,SFO,156.0,185.0,29.0
2013,7,2,AA,IAH,146.0,185.0,39.0
2013,6,24,B6,FLL,186.0,185.0,-1.0
2013,8,28,DL,DTW,187.0,185.0,-2.0
2013,6,28,MQ,ORF,126.0,185.0,59.0
2013,7,23,B6,LAX,201.0,185.0,-16.0
2013,6,7,MQ,BNA,151.0,185.0,34.0
2013,6,7,AA,TPA,189.0,185.0,-4.0
2013,7,22,DL,SAT,114.0,185.0,71.0
2013,8,5,B6,BUR,195.0,184.0,-11.0
2013,7,18,B6,AUS,204.0,184.0,-20.0
2013,6,26,B6,MCO,168.0,184.0,16.0
2013,6,27,AA,BOS,85.0,184.0,99.0
2013,7,28,B6,ROC,197.0,184.0,-13.0
2013,7,28,UA,SFO,87.0,183.0,96.0
2013,6,23,B6,RSW,182.0,183.0,1.0
2013,6,24,US,CLT,169.0,183.0,14.0
2013,7,11,VX,SFO,187.0,183.0,-4.0
2013,7,23,9E,CVG,161.0,183.0,22.0
